2026-04-20 09:33:55 | INFO     | pdf_extractor | Concluído: 02 - Mediç╞o Contábil_2017.1.0.pdf | 130 blocos texto | 268 tabelas | 819 imgs | 14.46s
2026-04-20 09:33:55 | INFO     | pdf_extractor | Processando: 02 - Mediç╞o Contábil_2017.1.0_1.pdf
2026-04-20 09:34:09 | INFO     | pdf_extractor | Concluído: 02 - Mediç╞o Contábil_2017.1.0_1.pdf | 130 blocos texto | 268 tabelas | 819 imgs | 14.72s
2026-04-20 09:34:09 | INFO     | pdf_extractor | Processando: 02-ANEXO II - 1.1 - Ades╞o à CCEE_v8.0.pdf
2026-04-20 09:34:12 | INFO     | pdf_extractor | Concluído: 02-ANEXO II - 1.1 - Ades╞o à CCEE_v8.0.pdf | 19 blocos texto | 18 tabelas | 59 imgs | 2.27s
2026-04-20 09:34:12 | INFO     | pdf_extractor | Processando: 02-ANEXO II - 1.1 - Ades╞o à CCEE_v8.0_1.pdf
2026-04-20 09:34:14 | INFO     | pdf_extractor | Concluído: 02-ANEXO II - 1.1 - Ades╞o à CCEE_v8.0_1.pdf | 19 blocos texto | 18 tabelas | 59 imgs | 1.94s
2026-04-20 09:34:14 | INFO     | pdf_extractor | Processando: 02-ANEXO II - 1.3 - Votos e ContribuiçΣes_v3.0.pdf
2026-04-20 09:34:14 | INFO     | pdf_extractor | Concluído: 02-ANEXO II - 1.3 - Votos e ContribuiçΣes_v3.0.pdf | 10 blocos texto | 8 tabelas | 31 imgs | 0.69s
2026-04-20 09:34:14 | INFO     | pdf_extractor | Processando: 02-ANEXO II - 1.3 - Votos e ContribuiçΣes_v3.0_1.pdf
2026-04-20 09:34:15 | INFO     | pdf_extractor | Concluído: 02-ANEXO II - 1.3 - Votos e ContribuiçΣes_v3.0_1.pdf | 10 blocos texto | 8 tabelas | 31 imgs | 0.67s
2026-04-20 09:34:15 | INFO     | pdf_extractor | Processando: 03-ANEXO III - 1.2 - Cadastro de agentes_v10.0.pdf
2026-04-20 09:34:18 | INFO     | pdf_extractor | Concluído: 03-ANEXO III - 1.2 - Cadastro de agentes_v10.0.pdf | 27 blocos texto | 20 tabelas | 81 imgs | 2.92s
2026-04-20 09:34:18 | INFO     | pdf_extractor | Processando: 03-ANEXO III - 1.2 - Cadastro de agentes_v10.0_1.pdf
2026-04-20 09:34:21 | INFO     | pdf_extractor | Concluído: 03-ANEXO III - 1.2 - Cadastro de agentes_v10.0_1.pdf | 27 blocos texto | 20 tabelas | 81 imgs | 2.92s
2026-04-20 09:34:21 | INFO     | pdf_extractor | Todos os 10 PDFs processados.
