2026-04-18 16:23:30 | WARNING | ERRO [aarea202212035_1.pdf] https://www2.aneel.gov.br/cedoc/aarea202212035_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:26:51 | WARNING | ERRO [area202211917_1.pdf] https://www2.aneel.gov.br/cedoc/area202211917_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:31:05 | WARNING | ERRO [adsp2022960_1.pdf] https://www2.aneel.gov.br/cedoc/adsp2022960_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:32:19 | WARNING | ERRO [rea202211647_1.pdf] https://www2.aneel.gov.br/cedoc/rea202211647_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:32:45 | WARNING | ERRO [area202211728_1.pdf] https://www2.aneel.gov.br/cedoc/area202211728_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:32:45 | WARNING | ERRO [area202211729_1.pdf] https://www2.aneel.gov.br/cedoc/area202211729_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:32:47 | WARNING | ERRO [area202211730_1.pdf] https://www2.aneel.gov.br/cedoc/area202211730_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:32:48 | WARNING | ERRO [area202211731_1.pdf] https://www2.aneel.gov.br/cedoc/area202211731_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:39:54 | WARNING | ERRO [area202211297_1.pdf] https://www2.aneel.gov.br/cedoc/area202211297_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:40:23 | WARNING | ERRO [area202211314_1ti.pdf] https://www2.aneel.gov.br/cedoc/area202211314_1ti.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:42:25 | WARNING | ERRO [area202211225_1.pdf] https://www2.aneel.gov.br/cedoc/area202211225_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:44:06 | WARNING | ERRO [dsp2022366_1.pdf] https://www2.aneel.gov.br/cedoc/dsp2022366_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 16:45:56 | WARNING | ERRO [aprt2022028_1.pdf] https://www2.aneel.gov.br/cedoc/aprt2022028_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:41:15 | WARNING | ERRO [adsp20161895_1.pdf] https://www2.aneel.gov.br/cedoc/adsp20161895_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:41:15 | WARNING | ERRO [adsp20162229_1.pdf] https://www2.aneel.gov.br/cedoc/adsp20162229_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:41:15 | WARNING | ERRO [adsp20162063_1.pdf] https://www2.aneel.gov.br/cedoc/adsp20162063_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:41:15 | WARNING | ERRO [areh20162130_1.pdf] https://www2.aneel.gov.br/cedoc/areh20162130_1.pdf | HTTPError: HTTP Error 404: 
2026-04-18 17:41:40 | WARNING | ERRO [aprt20164000_1.pdf] https://www2.aneel.gov.br/cedoc/aprt20164000_1.pdf | HTTPError: HTTP Error 404: 
